Content ID,Cont_Type,Category,Type,Datetime,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,2020-11-07 09:43:50,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,dislike,2021-06-17 12:22:51,negative,10.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,2021-04-18 05:13:58,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,disgust,2021-01-06 19:13:01,negative,0.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,2020-08-23 12:25:58,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,2020-12-07 06:27:54,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,cherish,2021-04-11 17:35:49,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,2021-01-27 08:32:09,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,2021-04-01 22:54:23,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,love,2020-08-04 05:05:02,positive,65.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,2020-11-07 08:36:27,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,2020-11-02 06:28:53,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,2020-11-01 01:16:21,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,2020-10-07 18:39:08,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,scared,2020-09-03 18:51:38,negative,15.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,2021-02-24 05:09:23,positive,75.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,2020-09-23 06:24:11,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,indifferent,2021-02-24 11:37:57,neutral,20.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,interested,2021-05-22 19:44:23,positive,30.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,intrigued,2021-01-31 16:03:56,positive,45.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,peeking,2020-11-20 17:26:23,neutral,35.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,worried,2021-04-11 20:47:13,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,like,2021-06-13 16:46:06,positive,50.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,heart,2021-04-11 14:29:59,positive,60.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,worried,2021-03-02 19:21:19,negative,12.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,2020-06-27 18:44:39,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,hate,2021-05-09 21:05:17,negative,5.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,cherish,2020-08-04 23:58:42,positive,70.0
97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,studying,super love,2020-08-28 03:57:20,positive,75.0
